#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
5160937|2015-10-04 03:49:49|-30.3105|-72.1018|5.9|us|NEIC PDE|us|us10003k53|mww|5.5|us|OFF COAST OF CENTRAL CHILE
5161496|2015-10-09 18:27:36|-31.7323|-71.7325|35.0|us|NEIC PDE|us|us10003mjs|mww|5.5|us|NEAR COAST OF CENTRAL CHILE
5167396|2015-12-07 07:51:11|-31.3985|-71.2624|49.5|guc|NEIC PDE|us|us100044k5|mwr|5.5|guc|NEAR COAST OF CENTRAL CHILE
5184671|2016-06-06 13:16:02|-30.0433|-71.4636|28.3|us|NEIC PDE|us|us200062bu|Mww|5.5|us|NEAR COAST OF CENTRAL CHILE
10562691|2017-12-11 19:00:56|-19.7080|-71.0602|10.0|us|NEIC PDE|us|us2000c2xt|Mww|5.5|us|OFF COAST OF NORTHERN CHILE
10598859|2017-12-28 03:54:51|-24.8866|-70.2184|46.7|us|NEIC PDE|us|us1000bwzn|Mww|5.5|us|NEAR COAST OF NORTHERN CHILE
10980627|2018-12-05 17:12:13|-33.6725|-71.6541|37.5|us|NEIC PDE|us|us1000i2xc|mb|5.5|us|NEAR COAST OF CENTRAL CHILE
11010659|2019-03-02 20:21:52|-33.6774|-72.5954|10.4|us|NEIC PDE|us|us1000j9yt|Mww|5.5|us|OFF COAST OF CENTRAL CHILE
11030576|2019-04-26 06:22:34|-25.8987|-71.0119|29.0|us|NEIC PDE|us|us70003cb3|Mww|5.5|us|OFF COAST OF NORTHERN CHILE
11176791|2020-01-28 18:16:44|-30.2403|-72.3456|7.5|us|NEIC PDE|us|us60007ibj|Mww|5.5|us|OFF COAST OF CENTRAL CHILE
11303714|2020-09-01 05:29:38|-27.9671|-71.3367|16.3|us|NEIC PDE|us|us7000bfld|Mww|5.5|us|NEAR COAST OF NORTHERN CHILE
11341116|2020-11-21 02:11:48|-30.9170|-71.4498|51.0|us|NEIC PDE|us|us6000cr45|Mww|5.5|us|NEAR COAST OF CENTRAL CHILE
4389769|2014-03-06 04:37:05|-33.3160|-71.2857|58.7|ISC|ISC|ISC|604400591|MW|5.4|GCMT|NEAR COAST OF CENTRAL CHILE
4597325|2014-04-02 00:33:46|-20.1784|-70.6988|15.4|ISC|ISC|ISC|606913317|mb|5.4|NEIC|NEAR COAST OF NORTHERN CHILE
4597334|2014-04-02 00:37:49|-19.9835|-70.6182|20.3|ISC|ISC|ISC|604395805|mb|5.4|NEIC|NEAR COAST OF NORTHERN CHILE
4597376|2014-04-02 11:07:33|-19.9773|-70.9656|27.3|ISC|ISC|ISC|609948279|Mww|5.4|NEIC|NEAR COAST OF NORTHERN CHILE
8354088|2014-04-03 03:11:16|-20.6275|-70.6351|19.8|ISC|ISC|ISC|604399523|mb|5.4|NEIC|NEAR COAST OF NORTHERN CHILE
4597457|2014-04-03 09:23:20|-20.5528|-70.6840|9.2|ISC|ISC|ISC|604400914|Mww|5.4|NEIC|NEAR COAST OF NORTHERN CHILE
4597717|2014-04-07 13:47:33|-20.1093|-70.8372|12.1|ISC|ISC|ISC|604446878|mb|5.4|NEIC|NEAR COAST OF NORTHERN CHILE
4598591|2014-04-13 12:11:29|-20.5686|-70.7175|7.6|ISC|ISC|ISC|604453082|MW|5.4|GCMT|NEAR COAST OF NORTHERN CHILE
4601019|2014-05-05 11:21:19|-20.1966|-70.7300|23.6|ISC|ISC|ISC|604514203|MW|5.4|GCMT|NEAR COAST OF NORTHERN CHILE
4816552|2014-11-29 14:18:09|-19.9752|-70.9843|15.4|ISC|ISC|ISC|610574193|MW|5.4|GCMT|NEAR COAST OF NORTHERN CHILE
5109111|2015-04-01 08:17:25|-29.3551|-71.8300|20.8|ISC|ISC|ISC|606962367|MW|5.4|GCMT|NEAR COAST OF CENTRAL CHILE
5159064|2015-09-17 04:18:31|-30.8919|-71.3860|35.0|us|NEIC PDE|us|us20003kgj|mb|5.4|us|NEAR COAST OF CENTRAL CHILE
5159322|2015-09-19 08:31:24|-30.1004|-72.2316|8.0|us|NEIC PDE|us|us20003ls4|mww|5.4|us|OFF COAST OF CENTRAL CHILE
5159543|2015-09-21 15:37:08|-31.0239|-71.7936|25.6|us|NEIC PDE|us|us20003mgp|mww|5.4|us|NEAR COAST OF CENTRAL CHILE
5160254|2015-09-27 21:04:45|-31.6690|-71.7010|36.9|guc|NEIC PDE|guc|us20003pjl|mwr|5.4|guc|NEAR COAST OF CENTRAL CHILE
5164358|2015-11-06 08:44:07|-30.1424|-72.2616|8.5|us|NEIC PDE|us|us10003v5a|mww|5.4|us|OFF COAST OF CENTRAL CHILE
