Start,End
2017-12-11 03:43:15.674354,2017-12-11 03:44:15.674354
2017-12-11 03:44:15.674354,2017-12-11 03:45:15.674354
2017-12-11 03:45:15.674354,2017-12-11 03:46:15.674354
2017-12-11 03:46:15.674354,2017-12-11 03:47:15.674354
2017-12-11 03:47:15.674354,2017-12-11 03:48:15.674354
2017-12-11 03:48:15.674354,2017-12-11 03:49:15.674354
2017-12-11 03:49:15.674354,2017-12-11 03:50:15.674354
2017-12-11 03:50:15.674354,2017-12-11 03:51:15.674354
2017-12-11 03:51:15.674354,2017-12-11 03:52:15.674354
2017-12-11 03:52:15.674354,2017-12-11 03:53:15.674354
2017-12-11 03:53:15.674354,2017-12-11 03:54:15.674354
2017-12-11 03:54:15.674354,2017-12-11 03:55:15.674354
2017-12-11 03:55:15.674354,2017-12-11 03:56:15.674354
2017-12-11 03:56:15.674354,2017-12-11 03:57:15.674354
2017-12-11 03:57:15.674354,2017-12-11 03:58:15.674354
2017-12-11 03:58:15.674354,2017-12-11 03:59:15.674354
2017-12-11 03:59:15.674354,2017-12-11 04:00:15.674354
2017-12-11 04:00:15.674354,2017-12-11 04:01:15.674354
2017-12-11 04:01:15.674354,2017-12-11 04:02:15.674354
2017-12-11 04:02:15.674354,2017-12-11 04:03:15.674354
2017-12-11 04:03:15.674354,2017-12-11 04:04:15.674354
2017-12-11 04:04:15.674354,2017-12-11 04:05:15.674354
2017-12-11 04:05:15.674354,2017-12-11 04:06:15.674354
2017-12-11 04:06:15.674354,2017-12-11 04:07:15.674354
2017-12-11 04:07:15.674354,2017-12-11 04:08:15.674354
2017-12-11 04:08:15.674354,2017-12-11 04:09:15.674354
2017-12-11 04:09:15.674354,2017-12-11 04:10:15.674354
2017-12-11 04:10:15.674354,2017-12-11 04:11:15.674354
2017-12-11 04:11:15.674354,2017-12-11 04:12:15.674354
2017-12-11 04:12:15.674354,2017-12-11 04:13:15.674354
2017-12-11 04:13:15.674354,2017-12-11 04:14:15.674354
2017-12-11 04:14:15.674354,2017-12-11 04:15:15.674354
2017-12-11 04:18:11.009403,2017-12-11 04:19:11.009403
2017-12-11 04:19:11.009403,2017-12-11 04:20:11.009403
2017-12-11 04:20:11.009403,2017-12-11 04:21:11.009403
2017-12-11 04:21:11.009403,2017-12-11 04:22:11.009403
2017-12-11 04:22:11.009403,2017-12-11 04:23:11.009403
2017-12-11 04:23:11.009403,2017-12-11 04:24:11.009403
2017-12-11 04:24:11.009403,2017-12-11 04:25:11.009403
