Start,End
2017-12-11 04:17:58.175855,2017-12-11 04:18:58.175855
2017-12-11 04:18:58.175855,2017-12-11 04:19:58.175855
2017-12-11 04:19:58.175855,2017-12-11 04:20:58.175855
2017-12-11 04:20:58.175855,2017-12-11 04:21:58.175855
2017-12-11 04:21:58.175855,2017-12-11 04:22:58.175855
2017-12-11 04:22:58.175855,2017-12-11 04:23:58.175855
2017-12-11 04:23:58.175855,2017-12-11 04:24:58.175855
2017-12-11 04:24:58.175855,2017-12-11 04:25:58.175855
2017-12-11 04:25:58.175855,2017-12-11 04:26:58.175855
2017-12-11 04:26:58.175855,2017-12-11 04:27:58.175855
2017-12-11 04:27:58.175855,2017-12-11 04:28:58.175855
2017-12-11 04:28:58.175855,2017-12-11 04:29:58.175855
2017-12-11 04:29:58.175855,2017-12-11 04:30:58.175855
2017-12-11 04:30:58.175855,2017-12-11 04:31:58.175855
2017-12-11 04:31:58.175855,2017-12-11 04:32:58.175855
2017-12-11 04:32:58.175855,2017-12-11 04:33:58.175855
2017-12-11 04:33:58.175855,2017-12-11 04:34:58.175855
2017-12-11 04:34:58.175855,2017-12-11 04:35:58.175855
2017-12-11 04:35:58.175855,2017-12-11 04:36:58.175855
2017-12-11 04:36:58.175855,2017-12-11 04:37:58.175855
2017-12-11 04:37:58.175855,2017-12-11 04:38:58.175855
2017-12-11 04:38:58.175855,2017-12-11 04:39:58.175855
2017-12-11 04:39:58.175855,2017-12-11 04:40:58.175855
2017-12-11 04:40:58.175855,2017-12-11 04:41:58.175855
2017-12-11 04:41:58.175855,2017-12-11 04:42:58.175855
2017-12-11 04:42:58.175855,2017-12-11 04:43:58.175855
2017-12-11 04:43:58.175855,2017-12-11 04:44:58.175855
2017-12-11 04:44:58.175855,2017-12-11 04:45:58.175855
2017-12-11 04:45:58.175855,2017-12-11 04:46:58.175855
2017-12-11 04:46:58.175855,2017-12-11 04:47:58.175855
2017-12-11 04:47:58.175855,2017-12-11 04:48:58.175855
2017-12-11 04:48:58.175855,2017-12-11 04:49:58.175855
2017-12-11 04:49:58.175855,2017-12-11 04:50:58.175855
2017-12-11 04:50:58.175855,2017-12-11 04:51:58.175855
2017-12-11 04:51:58.175855,2017-12-11 04:52:58.175855
2017-12-11 04:52:58.175855,2017-12-11 04:53:58.175855
2017-12-11 04:53:58.175855,2017-12-11 04:54:58.175855
2017-12-11 04:54:58.175855,2017-12-11 04:55:58.175855
2017-12-11 04:55:58.175855,2017-12-11 04:56:58.175855
2017-12-11 04:56:58.175855,2017-12-11 04:57:58.175855
2017-12-11 04:57:58.175855,2017-12-11 04:58:58.175855
2017-12-11 05:01:54.883005,2017-12-11 05:02:54.883005
2017-12-11 05:02:54.883005,2017-12-11 05:03:54.883005
2017-12-11 05:03:54.883005,2017-12-11 05:04:54.883005
2017-12-11 05:04:54.883005,2017-12-11 05:05:54.883005
2017-12-11 05:05:54.883005,2017-12-11 05:06:54.883005
2017-12-11 05:06:54.883005,2017-12-11 05:07:54.883005
2017-12-11 05:07:54.883005,2017-12-11 05:08:54.883005
2017-12-11 05:08:54.883005,2017-12-11 05:09:54.883005
2017-12-11 05:09:54.883005,2017-12-11 05:10:54.883005
2017-12-11 05:10:54.883005,2017-12-11 05:11:54.883005
2017-12-11 05:11:54.883005,2017-12-11 05:12:54.883005
2017-12-11 05:12:54.883005,2017-12-11 05:13:54.883005
2017-12-11 05:13:54.883005,2017-12-11 05:14:54.883005
2017-12-11 05:14:54.883005,2017-12-11 05:15:54.883005
2017-12-11 05:15:54.883005,2017-12-11 05:16:54.883005
2017-12-11 05:16:54.883005,2017-12-11 05:17:54.883005
2017-12-11 05:17:54.883005,2017-12-11 05:18:54.883005
2017-12-11 05:18:54.883005,2017-12-11 05:19:54.883005
2017-12-11 05:19:54.883005,2017-12-11 05:20:54.883005
2017-12-11 05:20:54.883005,2017-12-11 05:21:54.883005
2017-12-11 05:21:54.883005,2017-12-11 05:22:54.883005
2017-12-11 05:22:54.883005,2017-12-11 05:23:54.883005
2017-12-11 05:23:54.883005,2017-12-11 05:24:54.883005
2017-12-11 05:24:54.883005,2017-12-11 05:25:54.883005
2017-12-11 05:25:54.883005,2017-12-11 05:26:54.883005
2017-12-11 05:26:54.883005,2017-12-11 05:27:54.883005
2017-12-11 05:27:54.883005,2017-12-11 05:28:54.883005
2017-12-11 05:28:54.883005,2017-12-11 05:29:54.883005
2017-12-11 05:29:54.883005,2017-12-11 05:30:54.883005
2017-12-11 05:30:54.883005,2017-12-11 05:31:54.883005
2017-12-11 05:31:54.883005,2017-12-11 05:32:54.883005
2017-12-11 05:32:54.883005,2017-12-11 05:33:54.883005
2017-12-11 05:33:54.883005,2017-12-11 05:34:54.883005
2017-12-11 05:34:54.883005,2017-12-11 05:35:54.883005
2017-12-11 05:35:54.883005,2017-12-11 05:36:54.883005
2017-12-11 05:36:54.883005,2017-12-11 05:37:54.883005
2017-12-11 05:37:54.883005,2017-12-11 05:38:54.883005
2017-12-11 05:38:54.883005,2017-12-11 05:39:54.883005
2017-12-11 05:39:54.883005,2017-12-11 05:40:54.883005
2017-12-11 05:40:54.883005,2017-12-11 05:41:54.883005
2017-12-11 05:41:54.883005,2017-12-11 05:42:54.883005
2017-12-11 05:42:54.883005,2017-12-11 05:43:54.883005
2017-12-11 05:43:54.883005,2017-12-11 05:44:54.883005
2017-12-11 05:44:54.883005,2017-12-11 05:45:54.883005
2017-12-11 05:48:01.826628,2017-12-11 05:49:01.826628
2017-12-11 05:49:01.826628,2017-12-11 05:50:01.826628
2017-12-11 05:50:01.826628,2017-12-11 05:51:01.826628
2017-12-11 05:51:01.826628,2017-12-11 05:52:01.826628
2017-12-11 05:52:01.826628,2017-12-11 05:53:01.826628
2017-12-11 05:53:01.826628,2017-12-11 05:54:01.826628
2017-12-11 05:54:01.826628,2017-12-11 05:55:01.826628
2017-12-11 05:55:01.826628,2017-12-11 05:56:01.826628
2017-12-11 05:56:01.826628,2017-12-11 05:57:01.826628
2017-12-11 05:57:01.826628,2017-12-11 05:58:01.826628
2017-12-11 05:58:01.826628,2017-12-11 05:59:01.826628
2017-12-11 05:59:01.826628,2017-12-11 06:00:01.826628
2017-12-11 06:00:01.826628,2017-12-11 06:01:01.826628
2017-12-11 06:01:01.826628,2017-12-11 06:02:01.826628
2017-12-11 06:02:01.826628,2017-12-11 06:03:01.826628
2017-12-11 06:03:01.826628,2017-12-11 06:04:01.826628
2017-12-11 06:04:01.826628,2017-12-11 06:05:01.826628
2017-12-11 06:05:01.826628,2017-12-11 06:06:01.826628
2017-12-11 06:06:01.826628,2017-12-11 06:07:01.826628
2017-12-11 06:07:01.826628,2017-12-11 06:08:01.826628
2017-12-11 06:08:01.826628,2017-12-11 06:09:01.826628
2017-12-11 06:09:01.826628,2017-12-11 06:10:01.826628
2017-12-11 06:10:01.826628,2017-12-11 06:11:01.826628
2017-12-11 06:11:01.826628,2017-12-11 06:12:01.826628
2017-12-11 06:12:01.826628,2017-12-11 06:13:01.826628
2017-12-11 06:13:01.826628,2017-12-11 06:14:01.826628
2017-12-11 06:14:01.826628,2017-12-11 06:15:01.826628
2017-12-11 06:15:01.826628,2017-12-11 06:16:01.826628
2017-12-11 06:16:01.826628,2017-12-11 06:17:01.826628
2017-12-11 06:17:01.826628,2017-12-11 06:18:01.826628
2017-12-11 06:18:01.826628,2017-12-11 06:19:01.826628
2017-12-11 06:19:01.826628,2017-12-11 06:20:01.826628
2017-12-11 06:20:01.826628,2017-12-11 06:21:01.826628
2017-12-11 06:21:01.826628,2017-12-11 06:22:01.826628
2017-12-11 06:22:01.826628,2017-12-11 06:23:01.826628
2017-12-11 06:23:01.826628,2017-12-11 06:24:01.826628
2017-12-11 06:24:01.826628,2017-12-11 06:25:01.826628
2017-12-11 06:25:01.826628,2017-12-11 06:26:01.826628
2017-12-11 06:26:01.826628,2017-12-11 06:27:01.826628
2017-12-11 06:27:01.826628,2017-12-11 06:28:01.826628
2017-12-11 06:28:01.826628,2017-12-11 06:29:01.826628
2017-12-11 06:29:01.826628,2017-12-11 06:30:01.826628
2017-12-11 06:30:01.826628,2017-12-11 06:31:01.826628
2017-12-11 06:31:01.826628,2017-12-11 06:32:01.826628
2017-12-11 06:34:32.931501,2017-12-11 06:35:32.931501
2017-12-11 06:35:32.931501,2017-12-11 06:36:32.931501
2017-12-11 06:36:32.931501,2017-12-11 06:37:32.931501
2017-12-11 06:37:32.931501,2017-12-11 06:38:32.931501
2017-12-11 06:38:32.931501,2017-12-11 06:39:32.931501
2017-12-11 06:39:32.931501,2017-12-11 06:40:32.931501
2017-12-11 06:40:32.931501,2017-12-11 06:41:32.931501
2017-12-11 06:41:32.931501,2017-12-11 06:42:32.931501
2017-12-11 06:42:32.931501,2017-12-11 06:43:32.931501
2017-12-11 06:43:32.931501,2017-12-11 06:44:32.931501
2017-12-11 06:44:32.931501,2017-12-11 06:45:32.931501
2017-12-11 06:45:32.931501,2017-12-11 06:46:32.931501
2017-12-11 06:46:32.931501,2017-12-11 06:47:32.931501
2017-12-11 06:47:32.931501,2017-12-11 06:48:32.931501
2017-12-11 06:48:32.931501,2017-12-11 06:49:32.931501
2017-12-11 06:49:32.931501,2017-12-11 06:50:32.931501
2017-12-11 06:50:32.931501,2017-12-11 06:51:32.931501
2017-12-11 06:51:32.931501,2017-12-11 06:52:32.931501
2017-12-11 06:52:32.931501,2017-12-11 06:53:32.931501
2017-12-11 06:53:32.931501,2017-12-11 06:54:32.931501
2017-12-11 06:54:32.931501,2017-12-11 06:55:32.931501
2017-12-11 06:55:32.931501,2017-12-11 06:56:32.931501
2017-12-11 06:56:32.931501,2017-12-11 06:57:32.931501
2017-12-11 06:57:32.931501,2017-12-11 06:58:32.931501
2017-12-11 06:58:32.931501,2017-12-11 06:59:32.931501
2017-12-11 06:59:32.931501,2017-12-11 07:00:32.931501
2017-12-11 07:00:32.931501,2017-12-11 07:01:32.931501
2017-12-11 07:01:32.931501,2017-12-11 07:02:32.931501
2017-12-11 07:02:32.931501,2017-12-11 07:03:32.931501
2017-12-11 07:03:32.931501,2017-12-11 07:04:32.931501
2017-12-11 07:04:32.931501,2017-12-11 07:05:32.931501
2017-12-11 07:05:32.931501,2017-12-11 07:06:32.931501
2017-12-11 07:06:32.931501,2017-12-11 07:07:32.931501
2017-12-11 07:07:32.931501,2017-12-11 07:08:32.931501
2017-12-11 07:08:32.931501,2017-12-11 07:09:32.931501
2017-12-11 07:09:32.931501,2017-12-11 07:10:32.931501
2017-12-11 07:10:32.931501,2017-12-11 07:11:32.931501
2017-12-11 07:11:32.931501,2017-12-11 07:12:32.931501
2017-12-11 07:12:32.931501,2017-12-11 07:13:32.931501
2017-12-11 07:13:32.931501,2017-12-11 07:14:32.931501
2017-12-11 07:14:32.931501,2017-12-11 07:15:32.931501
2017-12-11 07:15:32.931501,2017-12-11 07:16:32.931501
2017-12-11 07:16:32.931501,2017-12-11 07:17:32.931501
2017-12-11 07:17:32.931501,2017-12-11 07:18:32.931501
