Start,End
2017-12-11 03:43:18.740220,2017-12-11 03:44:18.740220
2017-12-11 03:44:18.740220,2017-12-11 03:45:18.740220
2017-12-11 03:45:18.740220,2017-12-11 03:46:18.740220
2017-12-11 03:46:18.740220,2017-12-11 03:47:18.740220
2017-12-11 03:47:18.740220,2017-12-11 03:48:18.740220
2017-12-11 03:48:18.740220,2017-12-11 03:49:18.740220
2017-12-11 03:49:18.740220,2017-12-11 03:50:18.740220
2017-12-11 03:50:18.740220,2017-12-11 03:51:18.740220
2017-12-11 03:51:18.740220,2017-12-11 03:52:18.740220
2017-12-11 03:52:18.740220,2017-12-11 03:53:18.740220
2017-12-11 03:53:18.740220,2017-12-11 03:54:18.740220
2017-12-11 03:54:18.740220,2017-12-11 03:55:18.740220
2017-12-11 03:55:18.740220,2017-12-11 03:56:18.740220
2017-12-11 03:56:18.740220,2017-12-11 03:57:18.740220
2017-12-11 03:57:18.740220,2017-12-11 03:58:18.740220
2017-12-11 03:58:18.740220,2017-12-11 03:59:18.740220
2017-12-11 03:59:18.740220,2017-12-11 04:00:18.740220
2017-12-11 04:00:18.740220,2017-12-11 04:01:18.740220
2017-12-11 04:01:18.740220,2017-12-11 04:02:18.740220
2017-12-11 04:02:18.740220,2017-12-11 04:03:18.740220
2017-12-11 04:03:18.740220,2017-12-11 04:04:18.740220
2017-12-11 04:04:18.740220,2017-12-11 04:05:18.740220
2017-12-11 04:05:18.740220,2017-12-11 04:06:18.740220
2017-12-11 04:06:18.740220,2017-12-11 04:07:18.740220
2017-12-11 04:07:18.740220,2017-12-11 04:08:18.740220
2017-12-11 04:08:18.740220,2017-12-11 04:09:18.740220
2017-12-11 04:09:18.740220,2017-12-11 04:10:18.740220
2017-12-11 04:10:18.740220,2017-12-11 04:11:18.740220
2017-12-11 04:11:18.740220,2017-12-11 04:12:18.740220
2017-12-11 04:12:18.740220,2017-12-11 04:13:18.740220
2017-12-11 04:13:18.740220,2017-12-11 04:14:18.740220
2017-12-11 04:14:18.740220,2017-12-11 04:15:18.740220
2017-12-11 04:17:44.988491,2017-12-11 04:18:44.988491
2017-12-11 04:18:44.988491,2017-12-11 04:19:44.988491
2017-12-11 04:19:44.988491,2017-12-11 04:20:44.988491
2017-12-11 04:20:44.988491,2017-12-11 04:21:44.988491
2017-12-11 04:21:44.988491,2017-12-11 04:22:44.988491
2017-12-11 04:22:44.988491,2017-12-11 04:23:44.988491
2017-12-11 04:23:44.988491,2017-12-11 04:24:44.988491
